Registry ID,Co-op Name,Non-Profit(N)/For-Profit(P),Type
3309533,ABILITY WOOD PRODUCTS CO-OPERATIVE LIMITED,P,RETAIL CONSUMER PRODUCTS
3251438,(ACBC) ATLANTIC COUNCIL BIOENERGY COOPERATIVE LIMITED,N,SERVICES
3277515,AFRICAN COMMUNITY INVESTMENTS COOPERATIVE OF CANADA LTD.,P,INVESTMENT
3265866,AILEEN'S PETS WITHOUT VETS CO-OPERATIVE LTD.,N,SERVICES
3233867,ALL NOVA SCOTIA GREEN CHRISTMAS TREE CO-OP LTD.,P,FOREST PRODUCTS
3280780,AMHERST TRAIN STATION ARTISAN GALLERY COOPERATIVE LIMITED,N,CRAFT PRODUCTS
3293059,ANTIGONISH COMMUNITY ENERGY COOPERATIVE LIMITED,N,SERVICES
3254480,ARGYLE FARMERS' & ARTISANAL MARKET CO-OPERATIVE LIMITED,N,AGRICULTURE
3232669,ART 1274 HOLLIS CO-OPERATIVE LIMITED,N,CRAFT PRODUCTS
3280816,ARTISYNC TECHNOLOGIES CO-OP LTD.,P,CRAFT PRODUCTS
3277711,ARTPORT GALLERY COOPERATIVE LIMITED,N,CRAFT PRODUCTS
3246190,CAPE NORTH FARMERS MARKET COOPERATIVE LIMITED,N,AGRICULTURE
3268827,CARBON ARC CINEMA COOPERATIVE LTD.,N,SERVICES
3302211,CEDAR LAKE WIRELESS COOPERATIVE LTD.,N,SERVICES
3231260,CELTIC HEART OF NORTH AMERICA COOPERATIVE LIMITED,N,CRAFT PRODUCTS
3261409,CMEC ALUMNI & STUDENT CO-OP LTD.,N,SERVICES
3298899,COMPASS NOVA SCOTIA CO-OPERATIVE HOMES LTD.,N,HOUSING
3311253,CT PURCHASING CO-OPERATIVE LIMITED,P,AGRICULTURE
3293305,CUMBERLAND COUNTY SALT HAULERS CO-OPERATIVE LIMITED,P,WORKER LABOUR
3252678,DMV THEATRE CO-OP LTD.,N,SERVICES
3270113,EARRAS CO-OPERATIVE OF MABOU LTD.,N,SERVICES
3279775,EASTERN SHORE COOPERATOR PUBLICATIONS COOPERATIVE LIMITED,N,CRAFT PRODUCTS
3230550,EVANGELINE ARTISTS' COOPERATIVE LTD.,N,CRAFT PRODUCTS
3309530,FAIRVIEW NEIGHBOURHOOD COOPERATIVE LIMITED,N,SERVICES
3254330,FARMWORKS INVESTMENT CO-OPERATIVE LIMITED,P,INVESTMENT
3296530,FISHERMAN'S COVE GALLERY CO-OP LTD.,N,CRAFT PRODUCTS
3258610,GETTING TO KNOW CANCER COOPERATIVE LTD.,N,SERVICES
3264189,GRASS ROOTS UP CO-OPERATIVE LIMITED,P,AGRICULTURE
