Registry ID,Address,Incorporation Year,# Co-ops,Co-ops Reporting,New Incorporations,Co-ops Struck,Total Income,Total Expenses,Net Income,Total Assets,Total_Liability,Total_Equity,Full Time Employees,Part Time Employees,Total Employees,Total Members,% Co-ops - Boards Filled,% Co-ops - AGM Held,% Co-ops - Quorum at AGM,% Co-ops - Mbrs Approved Fins,AVG # of Board Meeting,AVG # of Member Meetings,AVG # of Educational Event,Total Board Meetings,Total Member Meetings,Members at Educational Event,# Co-ops - Boards Filled,# Co-ops - Quorum at AGM,# Co-ops - AGM Held,# Co-ops - Mbrs Approved Fins
3309533,40 LOWER MACLEAN STREET,2017,325,296,16,23,278194215,274198546,3995669,165172763,96019123,69153643,673,772,1445,42230,83,89,88,86,6,3,8,1857,804,2223,257,274,277,268
3251438,60 TWEEDNOOGE PLACE,2011,338,301,33,8,685590572,685375959,214613,379605993,261016470,118589529,1965,1242,3207,44119,80,86,84,79,7,3,8,2148,926,2178,260,272,280,258
3277515,"VEITH HOUSE, 
3115 VEITH STREET",2013,336,308,11,22,506352075,500171435,6180640,289646396,195514937,94131460,1327,1038,2365,43336,83,89,87,82,7,3,9,1959,989,2478,266,279,284,261
3265866,"PO BOX 45, STN WHITNEY PIER",2012,347,310,14,5,671128377,670351397,776979,356189314,233251379,122937932,1716,1140,2856,43777,82,87,84,81,7,3,9,1958,906,2503,267,274,282,262
3233867,PO BOX 98,2009,287,281,22,20,763940213,761533667,2406546,388203801,278364111,109839691,2116,1049,3165,41195,85,91,89,84,7,3,9,1885,764,2490,250,262,268,246
3280780,"142 SOUTH ALBION STREET, SUITE 130",2014,339,316,19,17,384932915,360962357,23970558,275546205,158580532,116965677,945,932,1877,45436,80,90,88,84,7,3,8,1999,929,2568,263,288,297,277
3293059,59 MACKEN ROAD,2015,345,300,13,9,367157748,367741422,-583674,273440812,158965531,114475279,888,951,1839,45721,81,89,87,84,7,3,8,1965,966,2490,259,277,284,267
3254480,67 WILLIAM ROBBINS ROAD,2011,338,301,33,8,685590572,685375959,214613,379605993,261016470,118589529,1965,1242,3207,44119,80,86,84,79,7,3,8,2148,926,2178,260,272,280,258
3232669,1274 HOLLIS STREET,2008,290,273,14,24,765303446,759365189,5938257,390428269,276689232,113739037,2557,1102,3659,44299,77,85,84,77,7,3,7,1848,793,1899,229,249,251,228
3280816,812 UPPER PRINCE STREET,2014,339,316,19,17,384932915,360962357,23970558,275546205,158580532,116965677,945,932,1877,45436,80,90,88,84,7,3,8,1999,929,2568,263,288,297,277
3277711,701 LAKEVIEW AVENUE,2014,339,316,19,17,384932915,360962357,23970558,275546205,158580532,116965677,945,932,1877,45436,80,90,88,84,7,3,8,1999,929,2568,263,288,297,277
3246190,C/O BOX 48,2010,310,287,22,2,754447050,743909309,10537741,408736491,284866965,123869530,1964,1138,3102,45130,80,88,86,80,7,3,6,2074,898,1753,246,264,270,245
3268827,35 WOODLAND AVE,2013,336,308,11,22,506352075,500171435,6180640,289646396,195514937,94131460,1327,1038,2365,43336,83,89,87,82,7,3,9,1959,989,2478,266,279,284,261
3302211,PO BOX 112,2016,333,297,15,24,428631439,438833402,-10201963,254973623,155352084,99621538,916,745,1661,41572,84,87,86,85,6,3,12,1830,830,3600,261,268,271,263
3231260,"850 GRAND LAKE ROAD, SUITE 8",2008,290,273,14,24,765303446,759365189,5938257,390428269,276689232,113739037,2557,1102,3659,44299,77,85,84,77,7,3,7,1848,793,1899,229,249,251,228
3261409,"SAINT MARY'S UNIVERSITY, 
923 ROBIE STREET",2012,347,310,14,5,671128377,670351397,776979,356189314,233251379,122937932,1716,1140,2856,43777,82,87,84,81,7,3,9,1958,906,2503,267,274,282,262
3298899,405- 202 BROWNLOW AVENUE,2016,333,297,15,24,428631439,438833402,-10201963,254973623,155352084,99621538,916,745,1661,41572,84,87,86,85,6,3,12,1830,830,3600,261,268,271,263
3311253,PO BOX 997,2017,325,296,16,23,278194215,274198546,3995669,165172763,96019123,69153643,673,772,1445,42230,83,89,88,86,6,3,8,1857,804,2223,257,274,277,268
3293305,"1821 BECKWITH ROAD, RR#1",2015,345,300,13,9,367157748,367741422,-583674,273440812,158965531,114475279,888,951,1839,45721,81,89,87,84,7,3,8,1965,966,2490,259,277,284,267
3252678,14 NICKERSON ROAD,2011,338,301,33,8,685590572,685375959,214613,379605993,261016470,118589529,1965,1242,3207,44119,80,86,84,79,7,3,8,2148,926,2178,260,272,280,258
3270113,PO BOX 262,2013,336,308,11,22,506352075,500171435,6180640,289646396,195514937,94131460,1327,1038,2365,43336,83,89,87,82,7,3,9,1959,989,2478,266,279,284,261
3279775,11 EAST PETPESWICK ROAD,2014,339,316,19,17,384932915,360962357,23970558,275546205,158580532,116965677,945,932,1877,45436,80,90,88,84,7,3,8,1999,929,2568,263,288,297,277
3230550,185 WEST LONG ISLAND ROAD,2008,290,273,14,24,765303446,759365189,5938257,390428269,276689232,113739037,2557,1102,3659,44299,77,85,84,77,7,3,7,1848,793,1899,229,249,251,228
3309530,28 WILLETT STREET,2017,325,296,16,23,278194215,274198546,3995669,165172763,96019123,69153643,673,772,1445,42230,83,89,88,86,6,3,8,1857,804,2223,257,274,277,268
3254330,70 EDEN ROW,2011,338,301,33,8,685590572,685375959,214613,379605993,261016470,118589529,1965,1242,3207,44119,80,86,84,79,7,3,8,2148,926,2178,260,272,280,258
3296530,"PO BOX 564, STN MAIN",2016,333,297,15,24,428631439,438833402,-10201963,254973623,155352084,99621538,916,745,1661,41572,84,87,86,85,6,3,12,1830,830,3600,261,268,271,263
3258610,36 ARTHUR STREET,2011,338,301,33,8,685590572,685375959,214613,379605993,261016470,118589529,1965,1242,3207,44119,80,86,84,79,7,3,8,2148,926,2178,260,272,280,258
3264189,8618 HIGHWAY 366,2012,347,310,14,5,671128377,670351397,776979,356189314,233251379,122937932,1716,1140,2856,43777,82,87,84,81,7,3,9,1958,906,2503,267,274,282,262
