EVT_RIN,LOCATION,ZONE
975221,MAIN ST,E7
975153,THOMAS RADDALL DR,W4
975047,ST MARGARETS BAY RD,BLT
975427,DAVISON ST,C4
975081,ALBRO LAKE RD,E5
975019,PRIMROSE ST,E5
975259,BAYVIEW RD,W5
975193,THOMAS RADDALL DR,W4
975005,BROWNLOW AVE,E6
975084,TAYLOR LAKE DR,HAM
975046,JAMIESON ST,E5
975718,CARIBOU RD,MSA
975497,GOTTINGEN ST,C4
975385,CONNOR LANE,C5
975245,WINDMILL RD,E6
975212,HILLSIDE AVE,SAC
975236,LIVERPOOL ST,C3
975291,BEAVER BANK RD,SAC
975428,KING ST / QUEEN ST,E3
975369,UPPER WATER ST,C4
975287,DUKE ST,C4
975773,TROLLOPE ST,C4
975327,GAINSBOROUGH PL,C5
975160,KEMPT RD,C5
975217,MCCABE LAKE DR,MSA
975611,ROWE AVE,W3
975570,ALBEMARLE ST / DUKE ST,C4
975514,SHEPHERD RD,W2
975494,TULIP ST,E4
975484,HIGHFIELD PARK DR,E5
975403,BRUNSWICK ST,C4
975394,BARRINGTON ST,C4
975458,HIGHWAY 357,MGR
975416,BARRINGTON ST,C4
975402,BARRINGTON ST,C4
975380,SKYRIDGE AVE,SAC
975462,A ROSEDALE AVE,W3
975541,HERRING COVE RD,W1
975525,MAIN AVE,W3
975411,BLOWERS ST,C4
975547,GREENBOROUGH CRES,COL
975414,PORTLAND ESTATES BLVD WEST,E1
975397,LUCKNOW ST,C1
975444,KEARNEY LAKE RD,W5
975396,CRYSTAL DR,E5
975750,MAIN ST,E1
975660,OLYMPIC CRT,C4
975633,NELSONS LANDING BLVD,W6
975594,HERRING COVE RD / DRYSDALE RD,W1
975683,THOMAS RADDALL DR,W4
975607,KENNEDY DR,E7
975550,SACKVILLE DR,SAC
975675,QUINDORA CRES,FOR
975644,CENTURY ST,SAC
975639,MAIN ST,E1
975638,PRINCE ALBERT RD,E3
975574,HOLLIS ST,C4
975698,THOMAS RADDALL DR,W4
975593,CORONATION AVE,W3
975567,SOUTH PARK ST,C1
975702,HOLLIS ST,C1
975701,STOKIL DR,SAC
975590,CORONATION AVE,W3
975616,HOLLIS ST,C1
975604,CONRADS RD,HUB
975573,UPPER WATER ST,C4
975562,BRUNSWICK ST,C4
975915,JOHNSON RD,HUB
975909,KAYE ST,SAC
975755,SHEPPARDS RUN,BLT
975686,LYONS AVE,W1
975840,BLOOMFIELD ST / GOTTINGEN ST,C5
975838,FARNHAM GATE RD,W4
975758,BAKER DR,E2
976028,CONRADS RD,HUB
975968,CONRADS RD,HUB
975841,DOC AVE,ECH
975704,CHAMEAU CRES,FOR
975749,COBEQUID RD,SAC
976092,HIGHWAY 2,FAL
976085,HERRING COVE RD,W1
975991,LARRY UTECK BLVD,W6
976066,PRINCE ALBERT RD / COTTAGE HILL DR,E3
976036,FINNIAN ROW,E6
975983,CONRADS BRANCH DR,HUB
975973,LOGGEN RD,SAC
975920,SATURN DR,SAC
975917,RIDDING RD,PAS
975904,LAKEVIEW AVE,MSA
1,Not Given,N.A
