City,YEAR,Province
Amherst,2017, Nova Scotia
Amherst,2016, Nova Scotia
Amherst,2015, Nova Scotia
Amherst,2014, Nova Scotia
Amherst,2013, Nova Scotia
Amherst,2012, Nova Scotia
Amherst,2011, Nova Scotia
Amherst,2010, Nova Scotia
Annapolis County,2017, Nova Scotia
Annapolis County,2016, Nova Scotia
Annapolis County,2015, Nova Scotia
Annapolis County,2014, Nova Scotia
Annapolis County,2013, Nova Scotia
Annapolis County,2012, Nova Scotia
Annapolis County,2011, Nova Scotia
Annapolis County,2010, Nova Scotia
Annapolis Royal,2017, Nova Scotia
Annapolis Royal,2016, Nova Scotia
Annapolis Royal,2015, Nova Scotia
Annapolis Royal,2014, Nova Scotia
Annapolis Royal,2013, Nova Scotia
Annapolis Royal,2012, Nova Scotia
Annapolis Royal,2011, Nova Scotia
Annapolis Royal,2010, Nova Scotia
Antigonish County,2017, Nova Scotia
Antigonish County,2016, Nova Scotia
Antigonish County,2015, Nova Scotia
Antigonish County,2014, Nova Scotia
Antigonish County,2013, Nova Scotia
Antigonish County,2012, Nova Scotia
Antigonish County,2011, Nova Scotia
Antigonish County,2010, Nova Scotia
Antigonish,2017, Nova Scotia
Antigonish,2016, Nova Scotia
Antigonish,2015, Nova Scotia
Antigonish,2014, Nova Scotia
Antigonish,2013, Nova Scotia
Antigonish,2012, Nova Scotia
Antigonish,2011, Nova Scotia
Antigonish,2010, Nova Scotia
Barrington,2017, Nova Scotia
Barrington,2016, Nova Scotia
Barrington,2015, Nova Scotia
Barrington,2014, Nova Scotia
Barrington,2013, Nova Scotia
Barrington,2012, Nova Scotia
Barrington,2011, Nova Scotia
Barrington,2010, Nova Scotia
Bridgewater,2017, Nova Scotia
Bridgewater,2016, Nova Scotia
Bridgewater,2015, Nova Scotia
Bridgewater,2014, Nova Scotia
Bridgewater,2013, Nova Scotia
Bridgewater,2012, Nova Scotia
Bridgewater,2011, Nova Scotia
Bridgewater,2010, Nova Scotia
Canadian National Railway Police,2017, Nova Scotia
Canadian National Railway Police,2016, Nova Scotia
Canadian National Railway Police,2015, Nova Scotia
Canadian National Railway Police,2014, Nova Scotia
Canadian National Railway Police,2013, Nova Scotia
Canadian National Railway Police,2012, Nova Scotia
Canadian National Railway Police,2011, Nova Scotia
Canadian National Railway Police,2010, Nova Scotia
Cape Breton Region,2017, Nova Scotia
Cape Breton Region,2016, Nova Scotia
Cape Breton Region,2015, Nova Scotia
Cape Breton Region,2014, Nova Scotia
Cape Breton Region,2013, Nova Scotia
Cape Breton Region,2012, Nova Scotia
Cape Breton Region,2011, Nova Scotia
Cape Breton Region,2010, Nova Scotia
Colchester County,2017, Nova Scotia
Colchester County,2016, Nova Scotia
Colchester County,2015, Nova Scotia
Colchester County,2014, Nova Scotia
Colchester County,2013, Nova Scotia
Colchester County,2012, Nova Scotia
Colchester County,2011, Nova Scotia
Colchester County,2010, Nova Scotia
Cumberland County,2017, Nova Scotia
Cumberland County,2016, Nova Scotia
Cumberland County,2015, Nova Scotia
Cumberland County,2014, Nova Scotia
Cumberland County,2013, Nova Scotia
Cumberland County,2012, Nova Scotia
Cumberland County,2011, Nova Scotia
Cumberland County,2010, Nova Scotia
Digby,2017, Nova Scotia
Digby,2016, Nova Scotia
Digby,2015, Nova Scotia
Digby,2014, Nova Scotia
Digby,2013, Nova Scotia
Digby,2012, Nova Scotia
