State,Country
AB,CANADA
AK ,USA 
AL,USA
ALBANIA ,OTHER
ALBERTA ,CANADA 
AR,USA
ARGENTINA ,OTHER
ARUBA ,OTHER
AUSTRALIA,OTHER
AUSTRALIA ,OTHER
AUSTRIA,OTHER
AUSTRIA ,OTHER
AUSTRIA  ,OTHER
AZ,USA 
AZ ,USA
BC,USA 
BC ,CANADA
BELARUS ,CANADA 
BELGIUM,OTHER
BELGIUM ,OTHER
BELGUIM,OTHER
BERMUDA,OTHER
CA,OTHER
CA ,USA
CAYMAN ISLAND,USA 
Cayman Islands,OTHER
CHINA,OTHER
CHINA ,OTHER
CO,OTHER
CO ,USA
CT,USA 
CT ,USA 
CZECH REPUBLIC,USA
CZECH REPUBLIC ,USA 
D ,OTHER
DC,OTHER
DC ,USA 
DE,USA 
DE ,USA
DENMARK,USA 
DENMARK ,USA
Dominican Republic ,USA 
ECUADOR ,OTHER
ENGLAND,OTHER
FINLAND ,OTHER
FL,OTHER
FL ,OTHER
FRANCE,OTHER
FRANCE ,USA
FRENCH GUIANA ,USA 
FRENCH SOUTHERN TERRITORIES,OTHER
GA,OTHER
GA ,OTHER
GERMANY,OTHER
GERMANY ,USA 
GREECE ,USA
GUAM ,USA 
HAITI ,OTHER
HI,OTHER
HI ,USA 
HONG KONG,OTHER
IA,OTHER
IA ,OTHER
ID,USA
ID ,USA 
IL,OTHER
IL ,USA
IN,USA 
IN ,USA 
INDONESIA,USA
INDONESIA ,USA 
IRELAND ,USA 
ISLE OF MAN ,USA
ISRAEL,OTHER
ISRAEL ,USA 
ISREAL ,USA
ITALY,USA 
ITALY ,OTHER
JAPAN,OTHER
JAPAN ,OTHER
KS,OTHER
KS ,OTHER
KY,OTHER
KY ,OTHER
LA,OTHER
LA ,OTHER
LUXEMBERG ,OTHER
LUXEMBOURG ,OTHER
LUXEMBURG ,USA
MA,USA 
MA ,USA
MB,USA 
MB ,USA
MD,USA 
MD ,OTHER
ME,OTHER
ME ,OTHER
MEXICO ,USA 
MI,USA
MI ,USA 
MN,CANADA 
MN ,CANADA
MO,OTHER
MO ,CANADA 
MONGOLIA ,USA
MS,USA 
MS ,USA 
MT,USA
MT ,USA 
"N,S. ",OTHER
NB,USA 
NB ,USA
NC,USA 
NC ,USA
ND,USA 
ND ,USA
NE,USA 
NE ,OTHER
NETHERLANDS,USA
NETHERLANDS ,USA 
NEW ZEALAND,USA
NEW ZEALAND ,USA 
NH,CANADA 
NH ,CANADA
NJ,CANADA 
NJ ,USA 
NL,USA
NL ,USA 
NM,USA
NM ,USA 
NORWAY,USA
NORWAY ,USA 
NS,OTHER
NS ,OTHER
NS  ,OTHER
NT,OTHER
NT ,USA 
NU,OTHER
NU ,USA
NV,USA 
NV ,USA 
NY,USA
NY ,USA 
NZ,CANADA 
OH,CANADA
OH ,OTHER
OK,CANADA 
OK ,USA
ON,USA 
ON ,OTHER
OR,OTHER
OR ,CANADA
PA,OTHER
PA ,CANADA 
PE,OTHER
PE ,CANADA 
POLAND,CANADA
POLAND ,CANADA 
PORTUGAL ,CANADA
Puerto Rico,CANADA 
PUERTO RICO ,USA
QATAR ,USA 
QC,USA 
QC ,USA
RI,USA 
RI ,OTHER
ROMANIA ,USA
RUSSIA,USA 
SAINT BARTHÉLEMY ,USA
SAINT-PIERRE ,USA 
SC,CANADA
SC ,CANADA 
SD,USA
SD ,USA 
SK,USA 
SK ,USA
SLOVAKIA,USA 
SLOVAKIA ,CANADA
SOUTH KOREA ,CANADA 
SPAIN,OTHER
SPAIN ,OTHER
SW,OTHER
SWAZILAND ,OTHER
SWEDEN,USA
Switzerland,OTHER
SWITZERLAND ,USA 
TASMANIA ,OTHER
TN,CANADA
Turks and Caicos Islands,CANADA 
TX,USA 
UK,USA
UKRAINE ,USA 
UT,OTHER
VA,OTHER
VT,OTHER
WA,OTHER
WI,USA 
WV,USA
WY,USA 
YT,USA
