Booking ID,State,Adult,Child,partySize,Night,Permits
1,NS ,2,0,2,4,1
2,QC ,1,0,1,5,1
3,SWAZILAND ,2,1,3,2,1
4,NS ,2,0,2,2,1
5,NS ,2,2,4,2,1
6,NS ,2,0,2,2,1
7,VT ,2,0,2,2,1
8,NS ,2,0,2,3,1
9,NS ,5,0,5,1,1
10,ME ,2,0,2,3,1
11,MD ,2,0,2,2,1
12,NS ,2,1,3,6,1
13,NS ,1,2,3,2,1
14,NS ,2,1,3,1,1
15,CA ,2,0,2,1,1
16,NS ,2,2,4,2,1
17,NS ,1,0,1,2,1
18,NS ,4,0,4,1,1
19,NS ,2,4,6,1,1
20,SK ,1,0,1,1,1
21,NS ,2,0,2,2,1
22,NS ,2,0,2,3,1
23,NS ,2,2,4,5,1
24,NS ,2,2,4,3,1
25,NS ,1,0,1,1,1
26,NS ,2,1,3,2,1
27,QC ,2,0,2,1,1
28,NS ,2,0,2,1,1
29,NS ,2,1,3,2,1
30,ON ,2,0,2,1,1
31,NS ,2,2,4,2,1
32,ON ,1,0,1,1,1
33,NS ,2,2,4,2,1
34,NS ,2,2,4,2,1
35,ON ,1,0,1,1,1
36,NS ,2,3,5,2,1
37,NS ,4,2,6,3,1
38,NS ,2,3,5,1,1
39,ON ,2,1,3,4,1
40,NS ,2,0,2,1,1
41,NY ,2,0,2,1,1
42,NS ,2,0,2,1,1
43,NS ,2,0,2,1,1
44,PE ,2,0,2,2,1
45,NS ,2,2,4,2,1
46,ON ,2,2,4,1,1
47,PE ,4,0,4,2,1
48,NS ,1,2,3,1,1
49,NS ,3,0,3,2,1
50,NS ,3,0,3,3,1
51,NS ,4,0,4,1,1
52,NS ,1,5,6,2,1
53,NB ,1,0,1,1,1
54,BC ,2,0,2,1,1
55,NS ,2,3,5,2,1
56,SWITZERLAND ,2,0,2,1,1
57,NB ,4,0,4,2,1
58,NS ,2,0,2,1,1
59,NS ,2,2,4,2,1
60,NS ,2,0,2,2,1
61,NS ,2,0,2,4,1
62,AB ,2,0,2,5,1
63,BC ,1,0,1,1,1
64,MA ,4,0,4,2,1
65,ISLE OF MAN ,2,0,2,1,1
66,NS ,1,2,3,2,1
67,QC ,2,0,2,1,1
68,NS ,6,0,6,1,1
69,NS ,1,0,1,2,1
70,NS ,2,4,6,2,1
71,MI ,2,0,2,1,1
72,NS ,1,1,2,1,1
73,BC ,2,0,2,1,1
74,NB ,2,0,2,1,1
75,NB ,6,0,6,2,1
76,NS ,2,1,3,1,1
77,QC ,2,0,2,1,1
78,NS ,2,0,2,5,1
79,ON ,2,1,3,1,1
80,NS ,2,0,2,1,1
81,NS ,4,2,6,2,1
82,NS ,2,2,4,2,1
83,NS ,2,2,4,1,1
84,NS ,1,0,1,1,1
85,NS ,2,0,2,4,1
86,NS ,2,0,2,6,1
87,NS ,2,0,2,2,1
88,NS ,4,0,4,1,1
89,NS ,2,1,3,1,1
90,NS ,2,1,3,2,1
91,NS ,2,0,2,4,1
92,ME ,1,0,1,1,1
93,NS ,2,0,2,1,1
94,ON ,2,0,2,1,1
95,ON ,2,0,2,1,1
96,QC ,2,0,2,2,1
97,NS ,2,0,2,3,1
98,NS ,2,1,3,3,1
99,NS ,4,2,6,2,1
100,NS ,2,0,2,2,1
101,NS ,2,0,2,2,1
102,SD ,1,0,1,1,1
103,NB ,4,0,4,2,1
104,AB ,2,0,2,2,1
105,ON ,1,0,1,1,1
106,NS ,2,2,4,3,1
107,QC ,2,0,2,2,1
