Report Year,# Co-ops,Co-ops Reporting,New Incorporations,Co-ops Struck,Total Income,Total Expenses,Net Income,Total Assets,Total_Liability,Total_Equity,Full Time Employees,Part Time Employees,Total Employees,Total Members,% Co-ops - Boards Filled,% Co-ops - AGM Held,% Co-ops - Quorum at AGM,% Co-ops - Mbrs Approved Fins,AVG # of Board Meeting,AVG # of Member Meetings,AVG # of Educational Event,Total Board Meetings,Total Member Meetings,Members at Educational Event,# Co-ops - Boards Filled,# Co-ops - Quorum at AGM,# Co-ops - AGM Held,# Co-ops - Mbrs Approved Fins
2017,325,296,16,23,"278,194,215","274,198,546","3,995,669","165,172,763","96,019,123","69,153,643",673,772,"1,445","42,230",83,89,88,86,6,3,8,"1,857",804,"2,223",257,274,277,268
2016,333,297,15,24,"428,631,439","438,833,402","-10,201,963","254,973,623","155,352,084","99,621,538",916,745,"1,661","41,572",84,87,86,85,6,3,12,"1,830",830,"3,600",261,268,271,263
2015,345,300,13,9,"367,157,748","367,741,422","-583,674","273,440,812","158,965,531","114,475,279",888,951,"1,839","45,721",81,89,87,84,7,3,8,"1,965",966,"2,490",259,277,284,267
2014,339,316,19,17,"384,932,915","360,962,357","23,970,558","275,546,205","158,580,532","116,965,677",945,932,"1,877","45,436",80,90,88,84,7,3,8,"1,999",929,"2,568",263,288,297,277
2013,336,308,11,22,"506,352,075","500,171,435","6,180,640","289,646,396","195,514,937","94,131,460","1,327","1,038","2,365","43,336",83,89,87,82,7,3,9,"1,959",989,"2,478",266,279,284,261
2012,347,310,14,5,"671,128,377","670,351,397","776,979","356,189,314","233,251,379","122,937,932","1,716","1,140","2,856","43,777",82,87,84,81,7,3,9,"1,958",906,"2,503",267,274,282,262
2011,338,301,33,8,"685,590,572","685,375,959","214,613","379,605,993","261,016,470","118,589,529","1,965","1,242","3,207","44,119",80,86,84,79,7,3,8,"2,148",926,"2,178",260,272,280,258
2010,310,287,22,2,"754,447,050","743,909,309","10,537,741","408,736,491","284,866,965","123,869,530","1,964","1,138","3,102","45,130",80,88,86,80,7,3,6,"2,074",898,"1,753",246,264,270,245
2009,287,281,22,20,"763,940,213","761,533,667","2,406,546","388,203,801","278,364,111","109,839,691","2,116","1,049","3,165","41,195",85,91,89,84,7,3,9,"1,885",764,"2,490",250,262,268,246
2008,290,273,14,24,"765,303,446","759,365,189","5,938,257","390,428,269","276,689,232","113,739,037","2,557","1,102","3,659","44,299",77,85,84,77,7,3,7,"1,848",793,"1,899",229,249,251,228
