Registry ID,Co-op Name,Incorporation Year,Address,Town,Province/State,Postal Code,Non-Profit(N)/For-Profit(P),Type
3309533,ABILITY WOOD PRODUCTS CO-OPERATIVE LIMITED,2017,40 LOWER MACLEAN STREET,GLACE BAY,NS,B1A 2K7,P,RETAIL CONSUMER PRODUCTS
3251438,(ACBC) ATLANTIC COUNCIL BIOENERGY COOPERATIVE LIMITED,2011,60 TWEEDNOOGE PLACE,EAST BAY,NS,B1J 1M6,N,SERVICES
3277515,AFRICAN COMMUNITY INVESTMENTS COOPERATIVE OF CANADA LTD.,2013,"VEITH HOUSE, 
3115 VEITH STREET",HALIFAX,NS,B3K 3G9,P,INVESTMENT
3265866,AILEEN'S PETS WITHOUT VETS CO-OPERATIVE LTD.,2012,"PO BOX 45, STN WHITNEY PIER",SYDNEY,NS,B1N 3B1,N,SERVICES
3233867,ALL NOVA SCOTIA GREEN CHRISTMAS TREE CO-OP LTD.,2009,PO BOX 98,NEW GERMANY,NS,B0R 1E0,P,FOREST PRODUCTS
3280780,AMHERST TRAIN STATION ARTISAN GALLERY COOPERATIVE LIMITED,2014,"142 SOUTH ALBION STREET, SUITE 130",AMHERST,NS,B4H 4H4,N,CRAFT PRODUCTS
3293059,ANTIGONISH COMMUNITY ENERGY COOPERATIVE LIMITED,2015,59 MACKEN ROAD,ANTIGONISH LANDING,NS,B2G 2L2,N,SERVICES
3254480,ARGYLE FARMERS' & ARTISANAL MARKET CO-OPERATIVE LIMITED,2011,67 WILLIAM ROBBINS ROAD,TUSKET,NS,B0W 3M0,N,AGRICULTURE
3232669,ART 1274 HOLLIS CO-OPERATIVE LIMITED,2008,1274 HOLLIS STREET,HALIFAX,NS,B3J 1T6,N,CRAFT PRODUCTS
3280816,ARTISYNC TECHNOLOGIES CO-OP LTD.,2014,812 UPPER PRINCE STREET,SYDNEY,NS,B1P 5N7,P,CRAFT PRODUCTS
3277711,ARTPORT GALLERY COOPERATIVE LIMITED,2014,701 LAKEVIEW AVENUE,MIDDLE SACKVILLE,NS,B4E 3B8,N,CRAFT PRODUCTS
3246190,CAPE NORTH FARMERS MARKET COOPERATIVE LIMITED,2010,C/O BOX 48,ST. MARGARET VILLAGE,NS,B0C 1R0,N,AGRICULTURE
3268827,CARBON ARC CINEMA COOPERATIVE LTD.,2013,35 WOODLAND AVE,DARTMOUTH,NS,B3A 3J6,N,SERVICES
3302211,CEDAR LAKE WIRELESS COOPERATIVE LTD.,2016,PO BOX 112,PORT MAITLAND,NS,B5A 5R9,N,SERVICES
3231260,CELTIC HEART OF NORTH AMERICA COOPERATIVE LIMITED,2008,"850 GRAND LAKE ROAD, SUITE 8",SYDNEY,NS,B1P 5T9,N,CRAFT PRODUCTS
3261409,CMEC ALUMNI & STUDENT CO-OP LTD.,2012,"SAINT MARY'S UNIVERSITY, 
923 ROBIE STREET",HALIFAX,NS,B3H 3C3,N,SERVICES
3298899,COMPASS NOVA SCOTIA CO-OPERATIVE HOMES LTD.,2016,405- 202 BROWNLOW AVENUE,DARTMOUTH,NS,B3B 1T5,N,HOUSING
3311253,CT PURCHASING CO-OPERATIVE LIMITED,2017,PO BOX 997,HALIFAX,NS,B3J 2X2,P,AGRICULTURE
3293305,CUMBERLAND COUNTY SALT HAULERS CO-OPERATIVE LIMITED,2015,"1821 BECKWITH ROAD, RR#1",OXFORD,NS,B0M 1P0,P,WORKER LABOUR
3252678,DMV THEATRE CO-OP LTD.,2011,14 NICKERSON ROAD,EAST PENNANT,NS,B3V 1L9,N,SERVICES
3270113,EARRAS CO-OPERATIVE OF MABOU LTD.,2013,PO BOX 262,MABOU,NS,B0E 1X0,N,SERVICES
3279775,EASTERN SHORE COOPERATOR PUBLICATIONS COOPERATIVE LIMITED,2014,11 EAST PETPESWICK ROAD,MUSQUODOBOIT HARBOUR,NS,B0J 1L0,N,CRAFT PRODUCTS
3230550,EVANGELINE ARTISTS' COOPERATIVE LTD.,2008,185 WEST LONG ISLAND ROAD,GRAND PRÉ,NS,B0P 1M0,N,CRAFT PRODUCTS
3309530,FAIRVIEW NEIGHBOURHOOD COOPERATIVE LIMITED,2017,28 WILLETT STREET,HALIFAX,NS,B3N 3B2,N,SERVICES
3254330,FARMWORKS INVESTMENT CO-OPERATIVE LIMITED,2011,70 EDEN ROW,WOLFVILLE,NS,B4P 2R2,P,INVESTMENT
3296530,FISHERMAN'S COVE GALLERY CO-OP LTD.,2016,"PO BOX 564, STN MAIN",EASTERN PASSAGE,NS,B3G 1M8,N,CRAFT PRODUCTS
3258610,GETTING TO KNOW CANCER COOPERATIVE LTD.,2011,36 ARTHUR STREET,TRURO,NS,B2N 1X5,N,SERVICES
3264189,GRASS ROOTS UP CO-OPERATIVE LIMITED,2012,8618 HIGHWAY 366,AMHERST,NS,B4H 3Y2,P,AGRICULTURE
3299462,GREAT ISLAND ARTS CO-OPERATIVE LIMITED,2016,5525 BLACK STREET,HALIFAX,NS,B3K 1P7,N,CRAFT PRODUCTS
3252414,GUYSBOROUGH COMMUNITY MARKET CO-OPERATIVE LIMITED,2011,"7035 HIGHWAY 16, RR2",GUYSBOROUGH,NS,B0H 1N0,N,AGRICULTURE
3247342,HALIFAX BREWERY FARMERS' MARKET CO-OP LTD.,2010,312 - 1496 LOWER WATER STREET,HALIFAX,NS,B3J 1R9,N,AGRICULTURE
3235541,HALIFAX CIRCUS CO-OPERATIVE LTD.,2009,P.O. BOX 29112,HALIFAX,NS,B3L 4T8,N,WORKER LABOUR
3265337,HALIFAX MUSIC CO-OPERATIVE LIMITED,2012,2107 BRUNSWICK STREET,HALIFAX,NS,B3K 2Y8,N,SERVICES
