YEAR,City,Province,TOTAL CRIME SEVERITY INDEX,VIOLENT CRIME SEVERITY INDEX,NON-VIOLENT CRIME SEVERITY INDEX,YOUTH CRIME SEVERITY INDEX,YOUTH VIOLENT CRIME SEVERITY INDEX,YOUTH NON-VIOLENT CRIME SEVERITY INDEX
12/31/2017 12:00:00 AM,Amherst, Nova Scotia,132,118,137,0,0,0
12/31/2016 12:00:00 AM,Amherst, Nova Scotia,101,78,109,0,0,0
12/31/2015 12:00:00 AM,Amherst, Nova Scotia,93,68,102,0,0,0
12/31/2014 12:00:00 AM,Amherst, Nova Scotia,91,102,87,0,0,0
12/31/2013 12:00:00 AM,Amherst, Nova Scotia,104,102,105,0,0,0
12/31/2012 12:00:00 AM,Amherst, Nova Scotia,113,120,110,0,0,0
12/31/2011 12:00:00 AM,Amherst, Nova Scotia,107,90,113,0,0,0
12/31/2010 12:00:00 AM,Amherst, Nova Scotia,110,123,105,0,0,0
12/31/2017 12:00:00 AM,Annapolis County, Nova Scotia,58,62,56,0,0,0
12/31/2016 12:00:00 AM,Annapolis County, Nova Scotia,69,64,70,0,0,0
12/31/2015 12:00:00 AM,Annapolis County, Nova Scotia,63,54,66,0,0,0
12/31/2014 12:00:00 AM,Annapolis County, Nova Scotia,61,52,64,0,0,0
12/31/2013 12:00:00 AM,Annapolis County, Nova Scotia,74,51,82,0,0,0
12/31/2012 12:00:00 AM,Annapolis County, Nova Scotia,92,73,98,0,0,0
12/31/2011 12:00:00 AM,Annapolis County, Nova Scotia,77,60,83,0,0,0
12/31/2010 12:00:00 AM,Annapolis County, Nova Scotia,82,67,88,0,0,0
12/31/2017 12:00:00 AM,Annapolis Royal, Nova Scotia,0,0,0,0,0,0
12/31/2016 12:00:00 AM,Annapolis Royal, Nova Scotia,0,0,0,0,0,0
12/31/2015 12:00:00 AM,Annapolis Royal, Nova Scotia,0,0,0,0,0,0
12/31/2014 12:00:00 AM,Annapolis Royal, Nova Scotia,0,0,0,0,0,0
12/31/2013 12:00:00 AM,Annapolis Royal, Nova Scotia,0,0,0,0,0,0
12/31/2012 12:00:00 AM,Annapolis Royal, Nova Scotia,0,0,0,0,0,0
12/31/2011 12:00:00 AM,Annapolis Royal, Nova Scotia,0,0,0,0,0,0
12/31/2010 12:00:00 AM,Annapolis Royal, Nova Scotia,0,0,0,0,0,0
12/31/2017 12:00:00 AM,Antigonish County, Nova Scotia,43,46,43,0,0,0
12/31/2016 12:00:00 AM,Antigonish County, Nova Scotia,40,45,39,0,0,0
12/31/2015 12:00:00 AM,Antigonish County, Nova Scotia,46,47,45,0,0,0
12/31/2014 12:00:00 AM,Antigonish County, Nova Scotia,41,41,42,0,0,0
12/31/2013 12:00:00 AM,Antigonish County, Nova Scotia,40,42,40,0,0,0
12/31/2012 12:00:00 AM,Antigonish County, Nova Scotia,41,41,41,0,0,0
12/31/2011 12:00:00 AM,Antigonish County, Nova Scotia,29,16,34,0,0,0
12/31/2010 12:00:00 AM,Antigonish County, Nova Scotia,39,35,40,0,0,0
12/31/2017 12:00:00 AM,Antigonish, Nova Scotia,134,154,126,0,0,0
12/31/2016 12:00:00 AM,Antigonish, Nova Scotia,115,98,121,0,0,0
12/31/2015 12:00:00 AM,Antigonish, Nova Scotia,96,88,99,0,0,0
12/31/2014 12:00:00 AM,Antigonish, Nova Scotia,90,83,92,0,0,0
12/31/2013 12:00:00 AM,Antigonish, Nova Scotia,100,127,89,0,0,0
12/31/2012 12:00:00 AM,Antigonish, Nova Scotia,129,156,120,0,0,0
12/31/2011 12:00:00 AM,Antigonish, Nova Scotia,131,177,114,0,0,0
12/31/2010 12:00:00 AM,Antigonish, Nova Scotia,149,221,122,0,0,0
