Park ID,State,Country,Adult,Child,PartySize,BookingType,RateType,Equipment,BookingStartDate,BookingEndDate,Camper Nights,Permits
Rissers Beach,NS,Canada,2,,2,CampsitePermit,Full,Less than 30ft,06/08/2012,06/11/2012,3,1
Thomas Raddall,NS,Canada,1,,1,CampsitePermit,Senior,Less than 20ft,08/04/2012,08/05/2012,1,1
The Islands,GERMANY,Other,4,,4,CampsitePermit,Full,Less than 40ft,07/04/2012,07/05/2012,1,1
Rissers Beach,NS,Canada,2,2,4,CampsitePermit,Full,Single Tent,07/06/2012,07/08/2012,2,1
Rissers Beach,ON,Canada,1,,1,CampsitePermit,Full,Single Tent,09/17/2012,09/18/2012,1,1
Battery,AB,Canada,2,,2,CampsitePermit,Senior,Less than 20ft,06/18/2012,06/19/2012,1,1
Mira River,NS,Canada,2,,2,CampsitePermit,Senior,Less than 30ft,08/25/2012,08/26/2012,1,1
Five Islands,NS,Canada,2,3,5,CampsitePermit,Full,Tents,08/13/2012,08/15/2012,2,1
Smileys,NS,Canada,2,4,6,CampsitePermit,Full,Tents,08/05/2012,08/08/2012,3,1
Rissers Beach,ON,Canada,1,1,2,CampsitePermit,Full,Single Tent,08/22/2012,08/24/2012,2,1
Battery,AB,Canada,2,,2,CampsitePermit,Full,Single Tent,08/17/2012,08/18/2012,1,1
Battery,UK,Other,2,,2,CampsitePermit,Full,Less than 20ft,08/13/2012,08/14/2012,1,1
Dollar Lake,NS,Canada,2,3,5,CampsitePermit,Full,Single Tent,07/29/2012,07/30/2012,1,1
Laurie,NS,Canada,2,1,3,CampsitePermit,Full,Single Tent,08/18/2012,08/19/2012,1,1
Dollar Lake,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,08/26/2012,08/27/2012,1,1
Laurie,ON,Canada,2,,2,CampsitePermit,Full,Single Tent,08/02/2012,08/04/2012,2,1
Thomas Raddall,NS,Canada,2,2,4,CampsitePermit,Full,Less than 20ft,07/26/2012,07/27/2012,1,1
Mira River,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,08/07/2012,08/08/2012,1,1
Laurie,NS,Canada,1,,1,CampsitePermit,Full,Single Tent,08/24/2012,08/25/2012,1,1
Mira River,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,08/25/2012,08/27/2012,2,1
Rissers Beach,NS,Canada,2,1,3,CampsitePermit,Full,Tents,07/17/2012,07/19/2012,2,1
Caribou Munroes,NS,Canada,1,1,2,CampsitePermit,Full,Single Tent,06/22/2012,06/23/2012,1,1
Mira River,NS,Canada,2,2,4,CampsitePermit,Full,Less than 20ft,08/19/2012,08/24/2012,5,1
Graves Island,NS,Canada,2,3,5,CampsitePermit,Full,Less than 20ft,09/14/2012,09/16/2012,2,1
Rissers Beach,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/16/2012,07/19/2012,3,1
Mira River,ON,Canada,3,1,4,CampsitePermit,Full,Less than 40ft,07/23/2012,07/24/2012,1,1
Amherst Shore,QC,Canada,2,,2,CampsitePermit,Full,Less than 20ft,08/24/2012,08/25/2012,1,1
Valleyview,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/21/2012,07/22/2012,1,1
Blomidon,NS,Canada,2,1,3,CampsitePermit,Full,Single Tent,06/29/2012,07/01/2012,2,1
Thomas Raddall,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/20/2012,07/22/2012,2,1
Valleyview,NS,Canada,2,1,3,CampsitePermit,Full,Tents,08/17/2012,08/19/2012,2,1
Porters Lake,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/10/2012,07/12/2012,2,1
Ellenwood Lake,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/02/2012,07/04/2012,2,1
Mira River,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,06/08/2012,06/10/2012,2,1
Thomas Raddall,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/13/2012,07/15/2012,2,1
Thomas Raddall,NS,Canada,4,3,7,CampsitePermit,Full,Tents,07/20/2012,07/22/2012,2,1
Blomidon,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,08/03/2012,08/05/2012,2,1
Caribou Munroes,QC,Canada,2,,2,CampsitePermit,Full,Single Tent,08/08/2012,08/09/2012,1,1
Porters Lake,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,05/20/2012,05/21/2012,1,1
Smileys,ON,Canada,2,,2,CampsitePermit,Full,Single Tent,08/31/2012,09/02/2012,2,1
Graves Island,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,08/24/2012,08/26/2012,2,1
Dollar Lake,NS,Canada,4,2,6,CampsitePermit,Full,Single Tent,08/31/2012,09/01/2012,1,1
Mira River,NS,Canada,2,3,5,CampsitePermit,Full,Less than 30ft,06/28/2012,06/29/2012,1,1
Dollar Lake,NS,Canada,2,,2,CampsitePermit,Full,Tents,08/24/2012,08/26/2012,2,1
Graves Island,ON,Canada,2,,2,CampsitePermit,Senior,Less than 20ft,08/20/2012,08/23/2012,3,1
Graves Island,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,05/20/2012,05/21/2012,1,1
Rissers Beach,AK,USA,1,,1,CampsitePermit,Full,Less than 20ft,05/25/2012,05/26/2012,1,1
Amherst Shore,QC,Canada,2,,2,CampsitePermit,Full,Less than 30ft,07/08/2012,07/09/2012,1,1
Amherst Shore,NB,Canada,2,2,4,CampsitePermit,Full,Single Tent,08/03/2012,08/06/2012,3,1
Thomas Raddall,NS,Canada,2,2,4,CampsitePermit,Full,Less than 20ft,07/25/2012,07/29/2012,4,1
Battery,NS,Canada,2,,2,CampsitePermit,Senior,Single Tent,08/09/2012,08/10/2012,1,1
Graves Island,NB,Canada,2,,2,CampsitePermit,Full,Single Tent,07/28/2012,07/29/2012,1,1
Mira River,QC,Canada,2,,2,CampsitePermit,Full,Less than 20ft,06/26/2012,06/28/2012,2,1
Five Islands,NS,Canada,5,,5,CampsitePermit,Full,Tents,09/14/2012,09/16/2012,2,1
Blomidon,NB,Canada,2,,2,CampsitePermit,Full,Single Tent,08/05/2012,08/07/2012,2,1
