Park,State,Country,Adult,Child,PartySize,Booking Type,RateType,Equipment,BookingStartDate,BookingEndDate,Camper nights,Permits
Whycocomagh,AL ,USA ,2,,2,CampsitePermit,Senior,Less than 30ft,09/06/2014,09/08/2014,2,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/22/2014,08/25/2014,3,1
Rissers Beach,ON ,CANADA ,4,2,6,CampsitePermit,Full,Single Tent,08/17/2014,08/19/2014,2,1
Blomidon,NS ,CANADA ,3,,3,CampsitePermit,Full,Tents,06/01/2014,06/02/2014,1,1
Whycocomagh,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,09/24/2014,09/25/2014,1,1
Valleyview,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/29/2014,07/31/2014,2,1
Boylston,GERMANY ,OTHER,2,1,3,CampsitePermit,Full,Less than 20ft,08/22/2014,08/23/2014,1,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/02/2014,08/03/2014,1,1
Rissers Beach,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,09/08/2014,09/10/2014,2,1
Porters Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,05/16/2014,05/19/2014,3,1
Five Islands,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 20ft,07/22/2014,07/23/2014,1,1
Battery,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 20ft,09/10/2014,09/11/2014,1,1
Salsman,NS ,CANADA ,4,,4,CampsitePermit,Full,Less than 30ft,08/15/2014,08/17/2014,2,1
Blomidon,AR ,USA ,2,,2,CampsitePermit,Senior,Less than 30ft,05/27/2014,06/01/2014,5,1
Five Islands,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,08/30/2014,09/02/2014,3,1
Rissers Beach,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,07/14/2014,07/15/2014,1,1
Dollar Lake,NS ,CANADA ,1,2,3,CampsitePermit,Full,Single Tent,07/26/2014,07/27/2014,1,1
The Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/18/2014,08/26/2014,8,1
Graves Island,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 20ft,06/13/2014,06/14/2014,1,1
Laurie,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,06/29/2014,06/30/2014,1,1
Graves Island,UK,OTHER,2,,2,CampsitePermit,Full,Single Tent,08/05/2014,08/06/2014,1,1
Mira River,NS ,CANADA ,2,2,4,CampsitePermit,Full,Tents,07/28/2014,07/30/2014,2,1
Dollar Lake,BC ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/09/2014,07/10/2014,1,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/08/2014,08/10/2014,2,1
Blomidon,ON ,CANADA ,2,3,5,CampsitePermit,Full,Tents,08/16/2014,08/17/2014,1,1
Valleyview,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/21/2014,08/24/2014,3,1
Smileys,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 40ft,08/15/2014,08/17/2014,2,1
Blomidon,SWITZERLAND  ,OTHER,2,3,5,CampsitePermit,Full,Less than 20ft,07/30/2014,07/31/2014,1,1
Whycocomagh,NS ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,08/02/2014,08/04/2014,2,1
Caribou Munroes,ON ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/14/2014,09/15/2014,1,1
The Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Tents,08/22/2014,08/24/2014,2,1
Graves Island,MB ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/18/2014,06/19/2014,1,1
Rissers Beach,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 40ft,08/01/2014,08/04/2014,3,1
Amherst Shore,ON ,CANADA ,2,,2,CampsitePermit,Senior,Less than 40ft,08/24/2014,08/25/2014,1,1
Thomas Raddall,ON ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/11/2014,08/12/2014,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/13/2014,09/14/2014,1,1
Thomas Raddall,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,08/03/2014,08/08/2014,5,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/26/2014,09/28/2014,2,1
Battery,NB ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/16/2014,08/17/2014,1,1
Graves Island,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 40ft,07/18/2014,07/20/2014,2,1
Caribou Munroes,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,09/12/2014,09/14/2014,2,1
Thomas Raddall,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,08/28/2014,09/01/2014,4,1
Cape Chignecto,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Single Tent,06/04/2014,06/05/2014,1,1
Caribou Munroes,TX ,USA ,2,,2,CampsitePermit,Full,Single Tent,07/21/2014,07/22/2014,1,1
Five Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/15/2014,08/17/2014,2,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,08/29/2014,09/01/2014,3,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,06/16/2014,06/20/2014,4,1
Amherst Shore,NS ,CANADA ,2,3,5,CampsitePermit,Full,Single Tent,07/12/2014,07/13/2014,1,1
Dollar Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/01/2014,08/03/2014,2,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/26/2014,09/02/2014,7,1
Five Islands,NB ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,09/07/2014,09/09/2014,2,1
Ellenwood Lake,FL ,USA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/01/2014,08/03/2014,2,1
Caribou Munroes,PE ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,07/11/2014,07/12/2014,1,1
Laurie,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/27/2014,08/28/2014,1,1
Boylston,NH ,USA ,1,,1,CampsitePermit,Senior,Less than 20ft,07/27/2014,07/28/2014,1,1
Cape Chignecto,NB ,CANADA ,5,,5,CampsitePermit,Full,Single Tent,09/28/2014,09/30/2014,2,1
Mira River,ON ,CANADA ,4,3,7,CampsitePermit,Senior,Less than 30ft,08/21/2014,08/22/2014,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/01/2014,08/04/2014,3,1
Mira River,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,07/31/2014,08/03/2014,3,1
Caribou Munroes,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 40ft,06/27/2014,06/30/2014,3,1
Battery,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,07/07/2014,07/11/2014,4,1
Ellenwood Lake,SWITZERLAND  ,OTHER,2,1,3,CampsitePermit,Full,Less than 20ft,06/06/2014,06/08/2014,2,1
Smileys,NS ,CANADA ,3,,3,CampsitePermit,Full,Single Tent,07/31/2014,08/03/2014,3,1
Caribou Munroes,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 20ft,07/10/2014,07/11/2014,1,1
Laurie,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,08/26/2014,08/28/2014,2,1
Thomas Raddall,ON ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/25/2014,08/26/2014,1,1
Mira River,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 30ft,06/28/2014,07/01/2014,3,1
Caribou Munroes,QC ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,07/28/2014,07/29/2014,1,1
Whycocomagh,OK ,USA ,2,,2,CampsitePermit,Full,Less than 20ft,08/20/2014,08/21/2014,1,1
Rissers Beach,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,08/15/2014,08/17/2014,2,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/09/2014,08/10/2014,1,1
Battery,AB ,CANADA ,3,,3,CampsitePermit,Senior,Tents,07/20/2014,07/21/2014,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,09/27/2014,09/28/2014,1,1
Laurie,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,08/15/2014,08/17/2014,2,1
Laurie,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/20/2014,08/21/2014,1,1
Porters Lake,GERMANY ,OTHER,1,,1,CampsitePermit,Full,Less than 20ft,06/06/2014,06/07/2014,1,1
Dollar Lake,NS ,CANADA ,3,,3,CampsitePermit,Full,Single Tent,08/10/2014,08/12/2014,2,1
Five Islands,NB ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/12/2014,09/13/2014,1,1
Graves Island,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 40ft,08/22/2014,08/24/2014,2,1
Smileys,GA ,USA ,2,,2,CampsitePermit,Senior,Less than 20ft,09/05/2014,09/06/2014,1,1
Blomidon,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 20ft,05/16/2014,05/18/2014,2,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/12/2014,07/13/2014,1,1
Whycocomagh,ON ,CANADA ,2,,2,CampsitePermit,Full,Tents,08/23/2014,08/24/2014,1,1
Salsman,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,07/25/2014,07/27/2014,2,1
Graves Island,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 40ft,08/01/2014,08/03/2014,2,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,09/06/2014,09/08/2014,2,1
Rissers Beach,NB ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/01/2014,09/05/2014,4,1
Dollar Lake,ON ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/08/2014,08/09/2014,1,1
Mira River,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 30ft,08/01/2014,08/04/2014,3,1
Rissers Beach,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,08/04/2014,08/06/2014,2,1
Cape Chignecto,NS ,CANADA ,3,,3,CampsitePermit,Full,Single Tent,09/06/2014,09/07/2014,1,1
Amherst Shore,NB ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,07/27/2014,07/29/2014,2,1
Amherst Shore,ON ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,09/01/2014,09/02/2014,1,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/01/2014,08/03/2014,2,1
Five Islands,FL ,USA ,2,,2,CampsitePermit,Full,Single Tent,08/08/2014,08/09/2014,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,06/20/2014,06/22/2014,2,1
Whycocomagh,QC ,CANADA ,4,,4,CampsitePermit,Senior,Tents,08/21/2014,08/22/2014,1,1
Blomidon,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,08/17/2014,08/24/2014,7,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,08/22/2014,08/24/2014,2,1
Mira River,NS ,CANADA ,2,3,5,CampsitePermit,Full,Single Tent,06/30/2014,07/01/2014,1,1
Caribou Munroes,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,06/28/2014,06/30/2014,2,1
Graves Island,AUSTRALIA,OTHER,2,,2,CampsitePermit,Full,Single Tent,08/15/2014,08/16/2014,1,1
Rissers Beach,QC ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,06/13/2014,06/14/2014,1,1
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,05/22/2014,05/23/2014,1,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,07/18/2014,07/20/2014,2,1
Laurie,NS ,CANADA ,2,2,4,CampsitePermit,Full,Tents,08/22/2014,08/23/2014,1,1
Thomas Raddall,NB ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,07/31/2014,08/01/2014,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,08/22/2014,08/25/2014,3,1
Graves Island,QC ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,08/27/2014,08/28/2014,1,1
Caribou Munroes,PE ,CANADA ,3,,3,CampsitePermit,Full,Less than 30ft,08/26/2014,08/27/2014,1,1
Five Islands,NC ,USA ,2,2,4,CampsitePermit,Full,Single Tent,07/13/2014,07/15/2014,2,1
Porters Lake,GERMANY ,OTHER,2,,2,CampsitePermit,Senior,Less than 20ft,08/29/2014,09/04/2014,6,1
