Park,State,Country,Adult,Children,partySize,Booking type,RateType,Equipment,BookingStartDate,BookingEnddate,Camper Nights,Permit
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/17/2015,07/19/2015,2,1
Dollar Lake,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,07/17/2015,07/19/2015,2,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,06/19/2015,06/21/2015,2,1
Five Islands,ON ,CANADA ,4,2,6,CampsitePermit,Full,Tents,08/01/2015,08/03/2015,2,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/29/2015,08/30/2015,1,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/17/2015,07/19/2015,2,1
Cape Chignecto,NB ,CANADA ,3,,3,CampsitePermit,Full,Single Tent,08/29/2015,08/31/2015,2,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/22/2015,08/23/2015,1,1
Whycocomagh,ME ,USA ,2,,2,CampsitePermit,Full,Less than 30ft,07/27/2015,07/28/2015,1,1
Graves Island,BC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/03/2015,09/04/2015,1,1
Valleyview,ON ,CANADA ,1,,1,CampsitePermit,Full,Greater than 40ft,07/31/2015,08/01/2015,1,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,07/10/2015,07/13/2015,3,1
Whycocomagh,QC ,CANADA ,4,,4,CampsitePermit,Full,Less than 20ft,07/05/2015,07/06/2015,1,1
Dollar Lake,NS ,CANADA ,6,,6,CampsitePermit,Full,Tents,07/31/2015,08/02/2015,2,1
Blomidon,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/08/2015,08/09/2015,1,1
Battery,FL ,USA ,2,,2,CampsitePermit,Senior,Less than 30ft,10/04/2015,10/05/2015,1,1
Rissers Beach,NS ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,08/28/2015,08/30/2015,2,1
Rissers Beach,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,09/18/2015,09/20/2015,2,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/27/2015,06/28/2015,1,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/04/2015,06/07/2015,3,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,09/11/2015,09/13/2015,2,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/03/2015,07/05/2015,2,1
Rissers Beach,NB ,CANADA ,2,2,4,CampsitePermit,Full,Tents,08/16/2015,08/18/2015,2,1
Caribou Munroes,QC ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/06/2015,08/07/2015,1,1
